GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\2017-05-05 EMP UPDATED windoes reselected - Do not edit pre 29.09.17 612 standard\Run 1.b
Created: Fri Sep 29 18:38:03 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-1,STD610-2,612-1,612-2,BCR-2G,SCO-1,SCO-2,39-01,39-02,39-03,39-04,39-05,39-06,39-07,39-08,39-09,39-10,STD610-3,STD610-4,612-3,612-4,BCR-2G-1,SCO-1-1,SCO-2-1
Cu63,453.31,460.85,37.50,38.11,19.64,0.909,4.48,3.23,2.74,2.76,3.75,3.03,2.90,2.86,3.24,4.46,2.397,456.75,458.29,38.00,37.59,18.99,1.021,4.13
Zn66,475.07,484.70,38.56,39.66,196.10,61.23,72.67,102.05,99.23,104.25,117.52,106.88,103.04,101.68,102.57,90.67,103.32,479.48,473.91,39.13,39.03,178.26,57.39,66.97
Zn67,458.65,466.11,39.37,38.81,234.99,53.76,63.90,92.11,87.89,94.22,99.62,94.76,93.80,90.40,93.37,84.45,90.62,457.93,466.73,39.39,38.85,210.68,50.81,61.92
Ga69,436.60,448.71,36.61,37.19,79.85,<0.097,0.0858,0.1396,0.0888,<0.105,0.218,0.1534,0.252,0.0784,0.1586,0.867,0.1212,446.50,446.61,37.05,36.74,73.01,0.0427,0.0794
Sr88,511.61,517.99,77.96,78.86,330.49,0.0032,<0.0120,0.0421,0.1400,0.0379,1.724,0.865,0.1122,0.0221,0.0301,2.493,0.0361,513.06,506.59,78.33,78.43,330.46,0.00074,<0.0129
Y89,457.77,461.19,38.18,38.39,28.73,0.0426,0.0598,0.0306,0.0481,0.0337,0.0321,0.0459,0.0364,0.0547,0.0337,0.0829,0.0503,469.15,471.35,38.88,37.76,29.00,<0.0304,0.0401
Zr90,436.60,446.28,37.57,38.26,157.50,<0.144,0.0442,0.0406,0.0455,0.0561,0.523,0.254,0.0792,0.0562,0.0610,0.957,0.0515,440.40,441.20,37.60,38.17,156.16,0.068,<0.072
Nb93,464.27,463.65,39.14,38.66,12.87,0.0048,<0.0191,<0.0108,<0.0144,<0.0723,0.176,0.1255,0.0183,<0.0070,0.0088,2.063,0.0165,467.10,467.26,38.95,38.87,12.95,<0.0254,<0.0121
Ba135,442.19,444.66,39.67,38.98,686.65,0.038,0.015,<0.062,3.98,3.49,1.99,1.37,0.091,<0.139,<0.134,9.75,<0.114,436.77,436.93,38.13,40.52,666.78,<0.157,<0.298
Ba137,440.50,446.11,39.26,39.36,686.50,0.0089,0.0216,<0.0511,0.036,<0.291,1.84,1.283,0.098,0.0047,<0.056,9.28,<0.0544,447.35,447.69,38.78,39.80,676.98,<0.160,<0.176
