GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For edit 2017-04-20 EMP UPDATED Windows reselected\run4a.b
Created: Fri Sep 29 17:20:04 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04,LK1-1,LK1-2,LK1-3,LK1-4,LK1-5,LK1-6,LK1-7,LK1-8,LK1-9,LK1-10,STD610-09,STD610-10,612-09,612-10,BCR-2g-05,SCO-1-05,SCO-2-05
Ba135,448.39,457.85,38.69,38.90,683.00,<0.189,<0.253,0.0092,<0.201,0.027,<0.128,<0.128,<0.141,<0.155,0.0078,<0.111,<0.106,439.15,455.36,39.15,39.42,683.00,<0.251,0.071
Ba137,450.45,460.58,40.48,39.44,683.00,<0.392,0.0161,<0.0487,<0.0758,0.0112,<0.0602,<0.043,<0.0406,<0.0776,<0.0415,<0.0639,<0.0609,433.58,450.99,39.33,40.65,683.00,<0.145,<0.095
La139,464.69,464.46,38.30,38.51,24.70,<0.0168,0.0017,<0.0075,<0.0096,0.00139,<0.0093,0.00105,0.00204,<0.0120,<0.0143,<0.0121,<0.0094,450.71,459.52,37.49,37.54,24.70,<0.0353,0.0055
Ce140,473.96,480.38,40.84,39.97,53.30,0.0040,<0.0212,<0.0116,0.00141,<0.00694,0.00165,<0.0072,<0.0096,0.00085,<0.0070,<0.00535,<0.00509,461.41,473.38,39.54,40.07,53.30,<0.0209,<0.0249
Gd157,533.44,530.27,43.54,44.33,6.71,<0.183,<0.150,<0.0411,0.0020,<0.0604,<0.0508,0.0058,<0.0485,<0.0535,<0.0860,<0.0854,0.0101,520.52,521.98,44.11,45.05,6.71,0.0094,0.0218
Yb172,544.42,537.63,44.71,45.47,3.39,<0.113,0.0336,<0.0568,<0.0396,0.0129,<0.0499,<0.0224,<0.0370,<0.0236,<0.0219,<0.0239,0.0051,540.32,546.13,46.30,45.49,3.39,<0.0548,<0.051

GLITTER!: 1 sigma error.
Element,STD610-07,STD610-08,612-07,612-08,BCR-2g-04,SCO-1-04,SCO-2-04,LK1-1,LK1-2,LK1-3,LK1-4,LK1-5,LK1-6,LK1-7,LK1-8,LK1-9,LK1-10,STD610-09,STD610-10,612-09,612-10,BCR-2g-05,SCO-1-05,SCO-2-05
Li7,12.85,12.89,1.10,1.14,0.29,0.078,0.093,0.090,0.089,0.086,0.089,0.088,0.084,0.063,0.079,0.060,0.083,12.85,13.03,1.10,1.15,0.29,0.078,0.093
B11,1.85,1.88,0.33,0.35,0.19,0.22,0.21,0.17,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.16,0.16,2.12,2.14,0.35,0.37,0.19,0.21,0.21
