GLITTER! 4.5b1: Laser Ablation Analysis Results

G:\For Edit 2017-05-05 EMP UPDATED windoes reselected\Run 6.b
Created: Fri Sep 29 17:58:03 2017

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STD610-11,STD610-12,612-11,612-12,BCR-2G-5,SCO-1-5,SCO-2-5,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,STD610-13,STD610-14,612-13,612-14,BCR-2G-6,SCO-1-6,SCO-2-6
Na23,3081.01,3170.29,3175.25,3128.94,732.41,1.27,3.19,2.83,2.94,2.88,3.14,73.56,64.49,2.23,2.73,3160.87,3212.34,3265.27,3178.31,732.96,1.30,3.20
Mg24,13.92,13.86,1.97,1.93,682.10,9901.23,9793.55,8289.42,8464.93,8318.20,8118.60,2982.90,3075.39,9047.08,9023.20,14.08,14.17,1.99,1.99,684.91,9960.39,9919.60
Mg25,13.98,14.06,2.04,1.96,666.11,10456.44,10260.68,8842.02,8941.37,8568.32,8566.33,3119.82,3199.43,9262.80,9204.46,14.20,14.46,2.10,1.98,667.35,10235.23,10367.48
Mg26,13.72,13.79,2.16,2.05,665.43,10341.96,10062.92,8618.21,8920.38,8458.77,8486.08,3137.40,3171.24,9341.63,9066.72,13.74,14.25,2.15,2.13,666.83,10258.64,10317.85
Al27,311.49,311.19,333.30,330.65,2358.42,1.97,3.92,2.11,2.76,2.09,6.34,336.56,248.55,2.74,2.39,307.87,309.91,333.54,331.93,2367.52,2.00,3.86
Si29,13418.16,13373.52,14183.00,14010.57,11044.28,6114.72,6114.85,5926.38,5813.69,5829.01,5855.98,7411.58,7448.27,5958.47,5915.40,13838.51,14000.82,14818.45,14436.70,11190.09,6114.90,6114.89
Si30,12343.98,12260.11,13453.92,13221.96,10285.65,6466.72,6340.78,5658.91,5646.73,5530.73,6228.57,7022.06,7109.03,6223.28,5982.48,12552.86,12761.14,14040.14,13575.72,10434.82,6376.61,6409.78
P31,37.86,37.96,5.19,5.13,131.84,1.77,1.96,3.72,4.17,4.14,3.58,1.32,1.27,2.48,3.48,39.57,39.34,5.09,5.18,135.30,1.69,1.97
Ca43,2613.18,2613.30,2714.17,2710.06,1622.61,28.21,29.37,68.26,42.15,45.39,101.37,4884.58,4632.59,59.64,49.05,2614.81,2615.15,2715.65,2714.04,1623.91,27.77,30.48
Ca44,2607.88,2591.45,2684.48,2694.05,1595.34,24.42,27.30,66.93,42.90,45.11,94.02,4981.19,4653.05,54.78,44.61,2570.44,2629.93,2692.19,2673.15,1596.95,22.94,26.59
Sc45,14.16,14.14,1.36,1.33,1.06,0.19,0.16,0.17,0.16,0.15,0.20,2.08,2.11,0.19,0.17,14.13,14.48,1.35,1.34,1.06,0.18,0.15
Ti47,14.50,14.55,1.67,1.60,442.04,0.39,1.32,4.87,3.97,3.39,7.38,334.20,273.95,3.99,3.11,14.50,14.61,1.59,1.57,442.14,0.39,1.34
Ti49,14.69,14.56,1.66,1.58,441.67,0.40,1.41,4.82,4.12,3.26,7.74,333.60,270.96,3.92,3.17,14.46,14.54,1.57,1.65,441.62,0.39,1.36
